Gender,1,-1,Non-Binary
Gender,1,0,Multiple Gender identities
Gender,1,1,"Man (Boy, if child)"
Gender,1,2,"Woman (Girl, if child)"
Gender,1,3,Trans Female (MTF or Male to Female)
Gender,1,4,Trans Male (FTM or Female to Male)
Gender,1,5,Other
Gender,1,6,Client Doesn't Know
Gender,1,7,Client Prefers Not to Answer
Gender,1,8,Transgender Unknown
Gender,1,9,Transgender
Gender,1,10,Questioning
Gender,1,11,"Culturally Specific Identity (e.g., Two-Spirit)"
Gender,1,12,Different Identity
Gender,1,99,Data Not Collected
Unit of Measure,2,1,Days
Unit of Measure,2,2,Hours
Unit of Measure,2,3,Minutes
Unit of Measure,2,4,Each
Unit of Measure,2,5,Dollar
Unit of Measure,2,6,Mileage
Unit of Measure,2,7,1/4 Hours (15 Min Intervals)
Unit of Measure,2,8,1/6 Hours (10 Min Intervals)
Unit of Measure,2,9,Pounds
Unit of Measure,2,10,1/2 Hours (30 Min Intervals)
Unit of Measure,2,25,Vocational Hours
Usage Types,3,1,Unit
Usage Types,3,2,One Bedroom
Usage Types,3,3,Two Bedroom
Usage Types,3,4,Three Bedroom
Usage Types,3,5,Four Bedroom
Usage Types,3,6,Studio
Usage Types,3,7,Single Room Occupancy
Usage Types,3,8,Suite
Usage Types,3,9,One Bedroom
Usage Types,3,10,Two Bedroom
Usage Types,3,11,Three Bedroom
Usage Types,3,12,Four Bedroom
Usage Types,3,13,Five Bedroom
Usage Types,3,14,Six Bedroom
Usage Types,3,15,Five Bedroom
Usage Types,3,16,Six Bedroom
Relation to Head of Household,4,1,Self
Relation to Head of Household,4,2,Spouse
Relation to Head of Household,4,3,Child
Relation to Head of Household,4,4,Step-Child
Relation to Head of Household,4,5,Grandparent
Relation to Head of Household,4,6,Guardian
Relation to Head of Household,4,7,Other Relative
Relation to Head of Household,4,8,Other Non-Relative
Relation to Head of Household,4,9,Unknown
Relation to Head of Household,4,10,Grandchild
Relation to Head of Household,4,11,Foster-Child
Address Type,5,1,Current Address
Address Type,5,2,Mailing Address
Address Type,5,3,Previous Address
Race,6,-1,Other
Race,6,0,Multi-Racial
Race,6,1,"American Indian, Alaska Native, or Indigenous"
Race,6,2,Asian or Asian American
Race,6,3,"Black, African American or African"
Race,6,4,Native Hawaiian or Pacific Islander
Race,6,5,White
Race,6,6,Hispanic/Latina/o
Race,6,7,Middle Eastern or North African
Race,6,8,Client Doesn't Know
Race,6,9,Client Prefers Not to Answer
Race,6,20,Haitian
Race,6,21,Cape Verdean
Race,6,22,Arab
Race,6,23,Caribbean
Race,6,24,East Asian
Race,6,25,Persian
Race,6,26,Korean
Race,6,27,Asian Indian
Race,6,28,Chinese
Race,6,29,Samoan
Race,6,30,Guamanian or Chamorro
Race,6,31,Vietnamese
Race,6,32,Filipino
Race,6,33,Japanese
Race,6,99,Data Not Collected
Ethnicity,7,1,Non-Hispanic/Non-Latina/o
Ethnicity,7,2,Hispanic/Latina/o
Ethnicity,7,8,Client Doesn't Know
Ethnicity,7,9,Client Prefers Not to Answer
Ethnicity,7,99,Data Not Collected
User Types,8,1,Unauthenticated Public
User Types,8,2,Authenticated Users
User Types,8,3,Alter Own Role
User Types,8,4,Alter Any Role
Payment Types,13,1,Cash
Payment Types,13,3,Money Order
Payment Types,13,5,Check
Payment Types,13,7,Credit Card
Payment Types,13,9,Write-off
Payment Types,13,10,Refund Service
Payment Types,13,50,Void/Declined
Payment Types,13,99,Deposit Refunds
Document Check,14,1,Income Tax Return
Document Check,14,2,Pay Stub
Document Check,14,3,Notarized Statement
Document Check,14,4,Federal Assistance Documents
Document Check,14,5,Utility Bill
Document Check,14,6,Government Issued
Bulletin Board Permission Types,15,1,All Users
Bulletin Board Permission Types,15,2,Organization
Bulletin Board Permission Types,15,3,Organizations Assigned To A Program
Bulletin Board Permission Types,15,4,User
Bulletin Board Permission Types,15,5,Case Managers Assigned To Clients Within A Program
Bulletin Board Permission Types,15,6,Provider
Bulletin Board Permission Types,15,7,Provider Programs
Bulletin Board Permission Types,15,8,Provider Categories
Bulletin Board Permission Types,15,9,Role
Bulletin Board Permission Types,15,10,Team
Secondary Resource UI Element Types,17,1,Horizontal Corridor
Secondary Resource UI Element Types,17,2,Vertical Corridor
Secondary Resource UI Element Types,17,3,Horizontal Road
Secondary Resource UI Element Types,17,4,Vertical Road
Grade Level,19,0,0 Kindergarten
Grade Level,19,1,1st Grade
Grade Level,19,2,2nd Grade
Grade Level,19,3,3rd Grade
Grade Level,19,4,4th Grade
Grade Level,19,5,5th Grade
Grade Level,19,6,6th Grade
Grade Level,19,7,7th Grade
Grade Level,19,8,8th Grade
Grade Level,19,12,9th Grade or higher
Grade Level,19,98,0-Pre-K
Grade Level,19,99,0-Not Applicable
Affordability Program,21,0,Not In Program
Affordability Program,21,1,Loss of job/Change in income
Affordability Program,21,2,Medical Bills
Affordability Program,21,3,Accident w/ Bills
Affordability Program,21,4,House Repairs
Affordability Program,21,5,Fire
Affordability Program,21,6,Other
Frequency Types (Polling Service),22,1,Once
Frequency Types (Polling Service),22,2,Hours
Frequency Types (Polling Service),22,3,Days
Frequency Types (Polling Service),22,4,Weeks
Frequency Types (Polling Service),22,5,Months
Frequency Types (Polling Service),22,6,Quarters
Frequency Types (Polling Service),22,7,Years
Start Times (Polling Service),23,0,12 AM
Start Times (Polling Service),23,1,1 AM
Start Times (Polling Service),23,2,2 AM
Start Times (Polling Service),23,3,3 AM
Start Times (Polling Service),23,4,4 AM
Start Times (Polling Service),23,5,5 AM
Start Times (Polling Service),23,6,6 AM
Start Times (Polling Service),23,7,7 AM
Start Times (Polling Service),23,8,8 AM
Start Times (Polling Service),23,9,9 AM
Start Times (Polling Service),23,10,10 AM
Start Times (Polling Service),23,11,11 AM
Start Times (Polling Service),23,12,12 PM
Start Times (Polling Service),23,13,1 PM
Start Times (Polling Service),23,14,2 PM
Start Times (Polling Service),23,15,3 PM
Start Times (Polling Service),23,16,4 PM
Start Times (Polling Service),23,17,5 PM
Start Times (Polling Service),23,18,6 PM
Start Times (Polling Service),23,19,7 PM
Start Times (Polling Service),23,20,8 PM
Start Times (Polling Service),23,21,9 PM
