ElementTypeID	ClassName	Description	CategoryID	EffectsLayout	IsTabbable	VideoLink	FormAPIEnabled
1	ESG.WebUI.TextBox	Text Box	1	1	1	FHYL5M7kjko	1
2	ESG.WebUI.LongTextBox	Large Text Box	1	1	1	FHYL5M7kjko	1
3	ESG.WebUI.RichTextBox	Rich Text Box	2	1	0	NULL	1
4	ESG.WebUI.DropDownList	Drop Down List	1	1	1	Yaf5xUYkQ8c	1
5	ESG.WebUI.DropDownTable	Drop Down Table	2	1	0	jusJ3efyelM	1
6	ESG.WebUI.HiddenField	Hidden Field	1	0	0	x1WcWm_KEqI	1
7	ESG.WebUI.Button	Button	1	1	0	L0h6BBl-KWk	1
8	ESG.WebUI.Checkbox	Checkbox	1	1	1	9rn_Iejh1ig	1
9	ESG.WebUI.DateChooser	Date Chooser	1	1	1	nldFOPLos2s	1
10	ESG.WebUI.FormulaField	Formula	2	1	0	atMNgfqN8Ms	1
11	ESG.WebUI.Lookup	Lookup	1	1	1	8XzqBEOI5pk	1
12	ESG.WebUI.SelectButton	Select Button	2	0	0	NULL	1
13	ESG.WebUI.SectionBreak	Section Break	1	1	0	NULL	1
14	ESG.WebUI.PageText	Page Text	1	1	0	kyEzkOK_aM4	1
15	ESG.WebUI.RunStoredProcedure	Run Stored Proc	3	0	0	NULL	1
16	ESG.WebUI.ReportFolderChooser	CaseBot Report Folder Chooser	5	1	1	NULL	0
17	ESG.WebUI.PasswordBox	Password Box	5	1	1	NULL	1
18	ESG.WebUI.RaceMultiSelect	Race Multi-Select	5	1	0	NULL	1
19	ESG.WebUI.MultiSelect	Multi-Select	2	1	0	NULL	1
20	ESG.WebUI.OrgGroupMultiSelect	Org Group Multi-Select	2	1	0	NULL	1
21	ESG.WebUI.AssessmentChooser	Assessment Manager	2	1	0	NULL	1
22	ESG.WebUI.DataQuality	Data Quality	4	0	0	NULL	0
23	ESG.WebUI.ResourceUsagePatternBasic	Resource Usage Pattern	5	1	0	NULL	0
24	ESG.WebUI.DateRangeChooser	Date Range	4	1	0	zGh0oqeLrjc	1
25	ESG.WebUI.ResourcePatternChooser	Resource Pattern Chooser	5	1	0	NULL	0
26	ESG.WebUI.FormulaHidden	Hidden Formula	4	0	0	NULL	0
27	ESG.WebUI.ResourcePatternData	Resource Pattern Data	5	0	0	NULL	0
28	ESG.WebUI.CopyFromHeader	Copy value from header	4	0	0	NULL	0
29	ESG.WebUI.QueryDatabind	Query Databind	2	0	0	NULL	1
30	ESG.WebUI.ResourceSummary	Resource Summary	5	1	0	NULL	0
31	ESG.WebUI.AppointmentAttendees	Appointment Attendees	5	1	0	NULL	0
32	ESG.WebUI.LongTextBox	Long Text Box	2	1	0	NULL	1
